"customer_id","first_name","last_name","email","rental_id","rental_date","inventory_id","return_date","staff_id"
459,Tommy,Collazo,tommy.collazo@sakilacustomer.org,2,2005-05-24 22:54:33.000,1525,2005-05-28 19:40:33.000,1
408,Manuel,Murrell,manuel.murrell@sakilacustomer.org,3,2005-05-24 23:03:39.000,1711,2005-06-01 22:12:39.000,1
333,Andrew,Purdy,andrew.purdy@sakilacustomer.org,4,2005-05-24 23:04:41.000,2452,2005-06-03 01:43:41.000,2
222,Delores,Hansen,delores.hansen@sakilacustomer.org,5,2005-05-24 23:05:21.000,2079,2005-06-02 04:33:21.000,1
549,Nelson,Christenson,nelson.christenson@sakilacustomer.org,6,2005-05-24 23:08:07.000,2792,2005-05-27 01:32:07.000,1
269,Cassandra,Walters,cassandra.walters@sakilacustomer.org,7,2005-05-24 23:11:53.000,3995,2005-05-29 20:34:53.000,2
239,Minnie,Romero,minnie.romero@sakilacustomer.org,8,2005-05-24 23:31:46.000,2346,2005-05-27 23:33:46.000,2
126,Ellen,Simpson,ellen.simpson@sakilacustomer.org,9,2005-05-25 00:00:40.000,2580,2005-05-28 00:22:40.000,1
399,Danny,Isom,danny.isom@sakilacustomer.org,10,2005-05-25 00:02:21.000,1824,2005-05-31 22:44:21.000,2
142,April,Burns,april.burns@sakilacustomer.org,11,2005-05-25 00:09:02.000,4443,2005-06-02 20:56:02.000,2
261,Deanna,Byrd,deanna.byrd@sakilacustomer.org,12,2005-05-25 00:19:27.000,1584,2005-05-30 05:44:27.000,2
334,Raymond,Mcwhorter,raymond.mcwhorter@sakilacustomer.org,13,2005-05-25 00:22:55.000,2294,2005-05-30 04:28:55.000,1
446,Theodore,Culp,theodore.culp@sakilacustomer.org,14,2005-05-25 00:31:15.000,2701,2005-05-26 02:56:15.000,1
319,Ronald,Weiner,ronald.weiner@sakilacustomer.org,15,2005-05-25 00:39:22.000,3049,2005-06-03 03:30:22.000,1
316,Steven,Curley,steven.curley@sakilacustomer.org,16,2005-05-25 00:43:11.000,389,2005-05-26 04:42:11.000,2
575,Isaac,Oglesby,isaac.oglesby@sakilacustomer.org,17,2005-05-25 01:06:36.000,830,2005-05-27 00:43:36.000,1
19,Ruth,Martinez,ruth.martinez@sakilacustomer.org,18,2005-05-25 01:10:47.000,3376,2005-05-31 06:35:47.000,2
456,Ronnie,Ricketts,ronnie.ricketts@sakilacustomer.org,19,2005-05-25 01:17:24.000,1941,2005-05-31 06:00:24.000,1
185,Roberta,Harper,roberta.harper@sakilacustomer.org,20,2005-05-25 01:48:41.000,3517,2005-05-27 02:20:41.000,2
388,Craig,Morrell,craig.morrell@sakilacustomer.org,21,2005-05-25 01:59:46.000,146,2005-05-26 01:01:46.000,2
509,Raul,Fortier,raul.fortier@sakilacustomer.org,22,2005-05-25 02:19:23.000,727,2005-05-26 04:52:23.000,2
438,Barry,Lovelace,barry.lovelace@sakilacustomer.org,23,2005-05-25 02:40:21.000,4441,2005-05-29 06:34:21.000,1
350,Juan,Fraley,juan.fraley@sakilacustomer.org,24,2005-05-25 02:53:02.000,3273,2005-05-27 01:15:02.000,1
37,Pamela,Baker,pamela.baker@sakilacustomer.org,25,2005-05-25 03:21:20.000,3961,2005-05-27 21:25:20.000,2
371,Billy,Poulin,billy.poulin@sakilacustomer.org,26,2005-05-25 03:36:50.000,4371,2005-05-31 00:34:50.000,1
301,Robert,Baughman,robert.baughman@sakilacustomer.org,27,2005-05-25 03:41:50.000,1225,2005-05-30 01:13:50.000,2
232,Constance,Reid,constance.reid@sakilacustomer.org,28,2005-05-25 03:42:37.000,4068,2005-05-26 09:26:37.000,2
44,Marie,Turner,marie.turner@sakilacustomer.org,29,2005-05-25 03:47:12.000,611,2005-05-30 00:31:12.000,2
430,Ray,Houle,ray.houle@sakilacustomer.org,30,2005-05-25 04:01:32.000,3744,2005-05-30 03:12:32.000,1
369,Fred,Wheat,fred.wheat@sakilacustomer.org,31,2005-05-25 04:05:17.000,4482,2005-05-30 07:15:17.000,1
230,Joy,George,joy.george@sakilacustomer.org,32,2005-05-25 04:06:21.000,3832,2005-05-25 23:55:21.000,1
272,Kay,Caldwell,kay.caldwell@sakilacustomer.org,33,2005-05-25 04:18:51.000,1681,2005-05-27 03:58:51.000,1
597,Freddie,Duggan,freddie.duggan@sakilacustomer.org,34,2005-05-25 04:19:28.000,2613,2005-05-29 00:10:28.000,2
484,Roberto,Vu,roberto.vu@sakilacustomer.org,35,2005-05-25 04:24:36.000,1286,2005-05-27 07:02:36.000,2
88,Bonnie,Hughes,bonnie.hughes@sakilacustomer.org,36,2005-05-25 04:36:26.000,1308,2005-05-29 00:31:26.000,1
535,Javier,Elrod,javier.elrod@sakilacustomer.org,37,2005-05-25 04:44:31.000,403,2005-05-29 01:03:31.000,1
302,Michael,Silverman,michael.silverman@sakilacustomer.org,38,2005-05-25 04:47:44.000,2540,2005-06-01 00:58:44.000,1
207,Gertrude,Castillo,gertrude.castillo@sakilacustomer.org,39,2005-05-25 04:51:46.000,4466,2005-05-31 03:14:46.000,2
413,Marvin,Yee,marvin.yee@sakilacustomer.org,40,2005-05-25 05:09:04.000,2638,2005-05-27 23:12:04.000,1
174,Yvonne,Watkins,yvonne.watkins@sakilacustomer.org,41,2005-05-25 05:12:29.000,1761,2005-06-02 00:28:29.000,1
523,Harvey,Guajardo,harvey.guajardo@sakilacustomer.org,42,2005-05-25 05:24:58.000,380,2005-05-31 02:47:58.000,2
532,Neil,Renner,neil.renner@sakilacustomer.org,43,2005-05-25 05:39:25.000,2578,2005-05-26 06:54:25.000,2
207,Gertrude,Castillo,gertrude.castillo@sakilacustomer.org,44,2005-05-25 05:53:23.000,3098,2005-05-29 10:56:23.000,2
436,Troy,Quigley,troy.quigley@sakilacustomer.org,45,2005-05-25 05:59:39.000,1853,2005-06-02 09:56:39.000,2
7,Maria,Miller,maria.miller@sakilacustomer.org,46,2005-05-25 06:04:08.000,3318,2005-06-02 08:18:08.000,2
35,Virginia,Green,virginia.green@sakilacustomer.org,47,2005-05-25 06:05:20.000,2211,2005-05-30 03:04:20.000,1
282,Jenny,Castro,jenny.castro@sakilacustomer.org,48,2005-05-25 06:20:46.000,1780,2005-06-02 05:42:46.000,1
498,Gene,Sanborn,gene.sanborn@sakilacustomer.org,49,2005-05-25 06:39:35.000,2965,2005-05-30 10:12:35.000,2
18,Carol,Garcia,carol.garcia@sakilacustomer.org,50,2005-05-25 06:44:53.000,1983,2005-05-28 11:28:53.000,2
256,Mabel,Holland,mabel.holland@sakilacustomer.org,51,2005-05-25 06:49:10.000,1257,2005-05-26 06:42:10.000,1
507,Edgar,Rhoads,edgar.rhoads@sakilacustomer.org,52,2005-05-25 06:51:29.000,4017,2005-05-31 01:27:29.000,2
569,Dave,Gardiner,dave.gardiner@sakilacustomer.org,53,2005-05-25 07:19:16.000,1255,2005-05-27 05:19:16.000,2
291,Toni,Holt,toni.holt@sakilacustomer.org,54,2005-05-25 07:23:25.000,2787,2005-06-01 05:05:25.000,2
131,Monica,Hicks,monica.hicks@sakilacustomer.org,55,2005-05-25 08:26:13.000,1139,2005-05-30 10:57:13.000,1
